Date,Time,PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),PT08.S3(NOx),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Next_5_days_C6H6(GT),Next_10_days_C6H6(GT)
3/11/2004,19:00:00,1776,27.4,1488,702,2333,1704,9.7,69.3,0.8319,19.1,12.6
3/11/2004,20:00:00,1640,24,1404,743,2191,1654,9.6,67.8,0.8133,15.8,15.1
3/11/2004,21:00:00,1313,12.8,1076,957,1707,1285,9.1,64,0.7419,24.9,9.9
3/11/2004,22:00:00,965,4.7,749,1325,1333,821,8.2,63.4,0.6905,13.5,8
3/11/2004,23:00:00,913,2.6,629,1565,1252,552,8.2,60.8,0.6657,9.1,7.9
3/12/2004,0:00:00,1080,5.9,805,1254,1375,816,8.3,58.5,0.6438,8.6,6.1
3/12/2004,1:00:00,1044,6.4,829,1247,1378,832,7.7,59.7,0.6308,5.4,5.1
3/12/2004,2:00:00,988,4.1,718,1396,1304,692,7.1,61.8,0.6276,4.1,1.7
3/12/2004,3:00:00,889,1.9,574,1680,1187,512,7,62.3,0.6261,2.6,0.7
3/12/2004,4:00:00,831,1.1,506,1893,1134,384,6.1,65.9,0.6248,1.9,0.8
3/12/2004,5:00:00,847,1,501,1895,1155,394,6.3,65,0.6233,1.6,0.7
3/12/2004,6:00:00,927,1.8,571,1685,1223,487,6.8,62.9,0.6234,1.9,2
3/12/2004,7:00:00,1091,4.4,730,1387,1361,748,6.4,65.1,0.6316,7.5,5.1
3/12/2004,8:00:00,1587,17.9,1236,897,1900,1400,7.3,63.1,0.6499,21.4,17.7
3/12/2004,9:00:00,1545,22.1,1353,767,2058,1588,9.2,56.2,0.6561,36.4,18.4
3/12/2004,10:00:00,1350,14,1118,912,1712,1237,13.2,41.7,0.632,21.3,6.9
3/12/2004,11:00:00,1263,11.6,1037,969,1598,1167,14.3,38.4,0.6243,15.4,7.3
3/12/2004,12:00:00,1206,10.2,986,1035,1537,959,15,36.5,0.6195,12.5,9.6
3/12/2004,13:00:00,1252,11,1016,1008,1593,983,16.1,34.5,0.6262,15.1,10.4
3/12/2004,14:00:00,1287,12.8,1078,949,1660,1061,16.3,35.7,0.656,13.7,11.2
3/12/2004,15:00:00,1353,14.2,1122,922,1740,1139,15.8,37,0.661,10.4,10.7
3/12/2004,16:00:00,1309,12.7,1073,954,1657,1112,15.9,37.2,0.6657,15.2,11.6
3/12/2004,17:00:00,1274,11.7,1041,1006,1610,994,16.9,34.3,0.6549,12.3,12.4
3/12/2004,18:00:00,1510,19.3,1277,812,1910,1410,15.1,39.6,0.6766,27,18.3
3/12/2004,19:00:00,1525,18.2,1246,821,1847,1448,14.4,43.4,0.7084,38.4,21
3/12/2004,20:00:00,1843,32.6,1610,624,2390,1887,12.9,50.5,0.7478,35.1,21
3/12/2004,21:00:00,1598,20.1,1299,752,1941,1627,12.1,53.3,0.7536,27.2,14.5
3/12/2004,22:00:00,1484,14.3,1127,839,1723,1491,11,59.1,0.774,15,8.4
3/12/2004,23:00:00,1677,21.8,1346,741,2062,1657,9.7,64.6,0.7771,15.7,4.3
3/13/2004,0:00:00,1280,9.6,964,963,1544,1285,9.5,64.1,0.7597,13,3.8
3/13/2004,1:00:00,1196,7.4,873,1071,1463,1144,9.1,63.9,0.7423,8.1,2.7
3/13/2004,2:00:00,1184,5.4,782,1176,1365,1043,8.8,63.9,0.7256,5.5,2.5
3/13/2004,3:00:00,1172,5.4,783,1179,1380,996,7.8,67.5,0.7173,3.6,1.2
3/13/2004,4:00:00,1147,6.2,821,1132,1412,992,7,71.1,0.7158,2.9,0.8
3/13/2004,5:00:00,978,2.6,625,1420,1274,819,8.3,63.6,0.6982,2.5,0.6
3/13/2004,6:00:00,1100,2.9,646,1406,1268,835,7.2,67.5,0.6887,3,1.8
3/13/2004,7:00:00,1112,5.1,770,1228,1409,940,6.3,71.9,0.6932,7.7,4.6
3/13/2004,8:00:00,1336,11.8,1043,935,1678,1192,6.5,71.6,0.6945,23.3,14.2
3/13/2004,9:00:00,1408,15.1,1153,830,1777,1411,9.6,59.7,0.7124,35.8,21
3/13/2004,10:00:00,1447,12.9,1081,869,1667,1465,12.4,51.2,0.7335,21.3,16.2
3/13/2004,11:00:00,1542,16.1,1184,808,1780,1583,15.6,42.2,0.7451,14.3,15.5
3/13/2004,12:00:00,1451,14,1117,875,1679,1387,18.4,33.8,0.709,12.5,13.4
3/13/2004,13:00:00,1328,12.3,1059,987,1600,1101,19.4,31.3,0.695,12.2,16.9
3/13/2004,14:00:00,1207,8.6,924,1088,1488,850,18,34.8,0.7127,13.1,12.4
3/13/2004,15:00:00,1240,9.2,947,1049,1532,947,18.4,33.6,0.7042,14.4,10.1
3/13/2004,16:00:00,1306,10.2,987,1004,1554,1078,17.6,35.1,0.7012,16.8,8.7
3/13/2004,17:00:00,1326,10.6,1000,976,1602,1084,16.7,37.8,0.7117,14.5,13.8
3/13/2004,18:00:00,1473,15.5,1163,831,1779,1395,16.1,41,0.7451,21.5,9.3
3/13/2004,19:00:00,1609,19.6,1286,758,1922,1612,15.8,42.4,0.7569,26.4,13
3/13/2004,20:00:00,1611,19.2,1274,754,1915,1697,15.7,44.1,0.7786,26,14.3
3/13/2004,21:00:00,1621,18.3,1247,762,1860,1886,15.3,46.8,0.8091,14.1,7.6
3/13/2004,22:00:00,1444,13.1,1089,844,1748,1624,14.6,48.6,0.806,10.3,5.3
3/13/2004,23:00:00,1418,10.9,1010,892,1603,1536,14.7,49.3,0.8193,8.3,5.4
3/14/2004,0:00:00,1534,11,1013,889,1611,1535,13.9,53.6,0.8498,8.9,4.9
3/14/2004,1:00:00,1484,11.9,1045,880,1624,1530,14.6,51.5,0.8536,6.6,4.6
3/14/2004,2:00:00,1367,8.6,925,953,1543,1337,12.5,58.9,0.8537,3.6,2.7
3/14/2004,3:00:00,1344,9.7,968,921,1620,1278,11.6,63.4,0.8674,2.5,1.6
3/14/2004,4:00:00,1130,5.2,773,1130,1452,1051,12.1,61.1,0.8603,1.8,1.7
3/14/2004,5:00:00,1062,3.7,691,1272,1377,929,11.5,63.1,0.8533,1.3,1.2
3/14/2004,6:00:00,1076,2.5,618,1395,1333,872,11.6,62.2,0.8473,2.3,1.7
3/14/2004,7:00:00,1028,2.4,615,1384,1340,853,10.4,67.6,0.853,6.7,4.8
3/14/2004,8:00:00,1155,4.2,722,1225,1414,959,11.6,62.7,0.853,22.8,13.8
3/14/2004,9:00:00,1235,6.4,828,1055,1527,1093,12.4,60,0.8627,31.3,23.7
3/14/2004,10:00:00,1332,8.6,923,952,1614,1225,14.5,53.1,0.8728,19.2,14.2
3/14/2004,11:00:00,1445,10.9,1009,878,1696,1355,16.9,46.1,0.8789,16.4,8
3/14/2004,12:00:00,1416,10.7,1002,907,1677,1262,19.3,38.3,0.8474,14,6.7
3/14/2004,13:00:00,1281,7.5,880,1084,1525,980,21.2,31.4,0.7812,15.3,8.7
3/14/2004,14:00:00,1207,7.5,879,1104,1490,872,21.4,30.2,0.7616,16.7,10.8
3/14/2004,15:00:00,1258,8.2,906,1081,1511,900,21.9,29,0.7525,19,6.7
3/14/2004,16:00:00,1458,11.9,1045,974,1646,1099,22.2,28.4,0.7516,19.4,11.4
3/14/2004,17:00:00,1438,12,1051,943,1668,1206,21.3,30.8,0.7696,20.9,13.4
3/14/2004,18:00:00,1478,12.2,1055,929,1671,1262,19.7,36.7,0.8307,20.2,12
3/14/2004,19:00:00,1808,20.6,1312,753,1993,1698,18.4,41.7,0.8732,21.7,20.2
3/14/2004,20:00:00,1898,23.1,1381,681,2103,1905,17.6,46.1,0.921,19.8,14.4
3/14/2004,21:00:00,1560,14.7,1140,784,1818,1648,16.7,49.6,0.932,16.7,9.4
3/14/2004,22:00:00,1324,9,940,924,1587,1423,16.3,51,0.9341,9.1,5.9
3/14/2004,23:00:00,1349,8.8,933,933,1617,1349,14.7,55.9,0.9314,8.3,4.5
3/15/2004,0:00:00,1239,7.4,872,985,1547,1250,14.8,54.7,0.9164,5.8,4.5
3/15/2004,1:00:00,1239,6.9,853,1010,1543,1174,14,57,0.9094,5.2,2.5
3/15/2004,2:00:00,1224,7,855,998,1566,1149,13.4,61.3,0.9361,4.1,1.8
3/15/2004,3:00:00,1078,4.4,734,1128,1487,1021,12.6,63.5,0.923,3.4,1.4
3/15/2004,4:00:00,1078,4,711,1150,1468,1013,12.3,65.4,0.9351,2.9,0.9
3/15/2004,5:00:00,1075,3.9,703,1156,1464,1010,11.9,67.4,0.9375,3.1,0.6
3/15/2004,6:00:00,1157,6.4,830,1030,1584,1083,11.4,70.5,0.9475,2.5,1.4
3/15/2004,7:00:00,1314,9.7,966,897,1710,1235,11.3,70.2,0.9401,4.3,3.8
3/15/2004,8:00:00,1797,25.9,1451,652,2323,1680,12.4,63.9,0.917,8.9,11.6
3/15/2004,9:00:00,1961,36.7,1701,537,2665,2184,14.8,54.3,0.9076,10.5,17.8
3/15/2004,10:00:00,1771,26.6,1470,622,2262,1973,17.4,45.6,0.8993,12.5,8.8
3/15/2004,11:00:00,1564,20.1,1300,710,2029,1798,19.8,38.5,0.8801,12.3,6.8
3/15/2004,12:00:00,1430,14.1,1120,831,1783,1522,22,34.1,0.8904,11.7,5.9
3/15/2004,13:00:00,1417,14.9,1146,830,1831,1404,23.3,32.2,0.9096,11.7,8.9
3/15/2004,14:00:00,1400,15.4,1162,838,1829,1263,23.9,30,0.8757,9.3,8.2
3/15/2004,15:00:00,1317,12.1,1053,926,1707,1137,24.4,28.9,0.8736,7.6,8.6
3/15/2004,16:00:00,1318,11.5,1033,950,1675,1068,24.4,29.4,0.8848,6.7,10.1
3/15/2004,17:00:00,1445,14.8,1141,857,1824,1252,23.8,31.3,0.9137,9.7,9.4
3/15/2004,18:00:00,1917,32.1,1601,631,2447,1843,22.5,35.4,0.9547,12.4,14.6
3/15/2004,19:00:00,2040,39.2,1754,542,2679,2122,20.4,42.5,1.0086,16.6,24.6
3/15/2004,20:00:00,1895,31,1573,565,2443,1992,18.3,52.6,1.0945,16.4,21.6
3/15/2004,21:00:00,1595,19.9,1294,678,2058,1707,16.7,57.4,1.0786,13.7,10.3
3/15/2004,22:00:00,1439,15.3,1159,764,1856,1494,15.7,60.2,1.0654,9.9,5.7
3/15/2004,23:00:00,1142,6.9,852,1008,1547,1164,15.3,61.4,1.058,8.9,4.5
3/16/2004,0:00:00,1304,11.1,1019,852,1731,1272,14.1,65.7,1.0494,10.6,5.5
3/16/2004,1:00:00,1074,5.4,784,1098,1483,1040,14.8,60.6,1.0148,7.4,4.8
3/16/2004,2:00:00,968,2.8,640,1320,1386,867,14.8,59.2,0.9879,6.2,3.6
3/16/2004,3:00:00,929,2.3,608,1376,1364,826,13.6,62.1,0.9636,6.5,1.7
3/16/2004,4:00:00,941,2.6,626,1316,1373,840,12.3,66.2,0.945,5.8,2.2
3/16/2004,5:00:00,937,2,585,1412,1348,793,12.8,63.2,0.9283,4,3
3/16/2004,6:00:00,1017,3.5,681,1246,1418,870,11.2,68.5,0.9081,2.1,4
3/16/2004,7:00:00,1171,5.1,770,1162,1467,930,11,66.5,0.8705,3.6,6.7
3/16/2004,8:00:00,1541,16.2,1185,770,1889,1407,11.7,63.7,0.8719,4.4,16.7
3/16/2004,9:00:00,1539,19.7,1287,698,2055,1507,13.6,56.3,0.8743,5.4,19.3
3/16/2004,10:00:00,1735,25.1,1431,628,2211,1843,17.8,42.9,0.8672,7.1,14.8
3/16/2004,11:00:00,1571,20,1297,730,1973,1729,21.4,33.3,0.8417,7.3,13.4
3/16/2004,12:00:00,1452,18.3,1250,776,1868,1583,24.4,27.4,0.8231,7.6,11
3/16/2004,13:00:00,1579,22.3,1359,724,1998,1671,25.3,26.1,0.8264,6.8,12.5
3/16/2004,14:00:00,1466,20.4,1309,773,1897,1491,25.8,23.2,0.7589,4.6,8.4
3/16/2004,15:00:00,1280,14.6,1136,893,1675,1240,27,20.2,0.7094,8.4,5.3
3/16/2004,16:00:00,1407,16.6,1197,905,1759,1313,28.2,18.6,0.7014,6.9,8.8
3/16/2004,17:00:00,1389,15.8,1173,898,1739,1363,28,19.1,0.7098,9,11.2
3/16/2004,18:00:00,1447,17.8,1235,859,1778,1296,23.9,25.7,0.7519,15.1,11.6
3/16/2004,19:00:00,1551,19.1,1271,800,1875,1432,21.3,34.8,0.873,12.6,12.4
3/16/2004,20:00:00,1474,15.8,1173,854,1776,1432,20.4,36.7,0.8704,15.1,10.6
3/16/2004,21:00:00,1800,24.9,1426,700,2106,2034,19,41.3,0.9007,9.9,6
3/16/2004,22:00:00,1379,13.5,1101,818,1710,1602,17.9,45.9,0.9342,8,4.6
3/16/2004,23:00:00,1201,9.1,943,935,1560,1362,16.7,48.9,0.9226,7.9,4.1
3/17/2004,0:00:00,1205,8.6,925,922,1547,1314,15.5,52.9,0.9271,6.1,5.2
3/17/2004,1:00:00,1072,5.4,784,1066,1442,1114,15.5,51.9,0.9059,5.1,3.2
3/17/2004,2:00:00,998,4.1,714,1169,1383,992,14.1,55.6,0.891,1.7,4.5
3/17/2004,3:00:00,933,2.6,625,1292,1332,884,13.1,57.9,0.8666,0.7,3.8
3/17/2004,4:00:00,883,1.9,577,1396,1303,808,12.7,57.9,0.8447,0.8,3.8
3/17/2004,5:00:00,869,1.6,554,1460,1268,667,11.8,58,0.8026,0.7,1.9
3/17/2004,6:00:00,891,1.9,576,1417,1289,733,11.9,57.4,0.7978,2,2.4
3/17/2004,7:00:00,1173,7.5,878,1038,1556,1052,9.9,65.2,0.7956,5.1,3.3
3/17/2004,8:00:00,1587,21.4,1334,702,1999,1534,11.1,60.2,0.7958,17.7,6.7
3/17/2004,9:00:00,1852,36.4,1696,553,2535,1931,14.1,50,0.802,18.4,8.5
3/17/2004,10:00:00,1522,21.3,1331,703,2026,1734,17.7,40.1,0.8048,6.9,9.7
3/17/2004,11:00:00,1438,15.4,1161,819,1782,1595,21.1,33.4,0.8265,7.3,9.4
3/17/2004,12:00:00,1393,12.5,1067,905,1654,1490,24.3,28.3,0.8471,9.6,9
3/17/2004,13:00:00,1452,15.1,1152,861,1747,1508,25.6,25.6,0.8254,10.4,10
3/17/2004,14:00:00,1389,13.7,1108,887,1712,1334,25.9,25.9,0.8503,11.2,12.6
3/17/2004,15:00:00,1207,10.4,994,1013,1520,1045,26.8,18.7,0.65,10.7,7.6
3/17/2004,16:00:00,1365,15.2,1154,940,1679,1221,29.3,15.8,0.6309,11.6,11.8
3/17/2004,17:00:00,1247,12.3,1060,1032,1525,1069,28.5,14.9,0.5708,12.4,11.2
3/17/2004,18:00:00,1557,27,1478,793,1981,1569,25.9,16,0.5237,18.3,12.4
3/17/2004,19:00:00,1973,38.4,1737,617,2414,2306,23.1,26.5,0.7403,21,12.9
3/17/2004,20:00:00,1975,35.1,1667,597,2416,2359,20.5,38.2,0.9133,21,12.2
3/17/2004,21:00:00,1795,27.2,1485,653,2174,2050,19.1,42.6,0.9294,14.5,8.8
3/17/2004,22:00:00,1444,15,1150,770,1727,1727,17.2,44.1,0.8558,8.4,6.8
3/17/2004,23:00:00,1488,15.7,1171,731,1778,1705,16,50.9,0.9206,4.3,8.6
3/18/2004,0:00:00,1371,13,1083,796,1669,1551,14.8,53.9,0.9024,3.8,8.9
3/18/2004,1:00:00,1161,8.1,904,947,1502,1240,14.3,55.4,0.8975,2.7,8.3
3/18/2004,2:00:00,1064,5.5,787,1057,1407,1115,14.8,52.1,0.8686,2.5,6.3
3/18/2004,3:00:00,970,3.6,687,1196,1351,969,13.9,53.9,0.8501,1.2,8.3
3/18/2004,4:00:00,954,2.9,645,1260,1334,925,11.6,61.9,0.8442,0.8,5.1
3/18/2004,5:00:00,931,2.5,623,1293,1307,828,12,58.9,0.8233,0.6,2.6
3/18/2004,6:00:00,938,3,650,1251,1333,893,10.9,62.1,0.8113,1.8,3.6
3/18/2004,7:00:00,1166,7.7,885,1005,1551,1075,10.6,63.3,0.8067,4.6,3.6
3/18/2004,8:00:00,1643,23.3,1384,667,2094,1610,11.5,60,0.8117,14.2,4.7
3/18/2004,9:00:00,1934,35.8,1682,541,2468,2051,14.3,50.6,0.8186,21,7.5
3/18/2004,10:00:00,1617,21.3,1333,686,2010,1819,17.8,40.5,0.821,16.2,9
3/18/2004,11:00:00,1473,14.3,1127,831,1752,1568,20.8,34.4,0.8365,15.5,9.5
3/18/2004,12:00:00,1379,12.5,1068,899,1663,1374,23.8,28.2,0.8219,13.4,7.7
3/18/2004,13:00:00,1385,12.2,1056,891,1648,1268,24.2,28.7,0.8515,16.9,5.7
3/18/2004,14:00:00,1379,13.1,1087,901,1660,1144,25.2,24.9,0.7829,12.4,3.8
3/18/2004,15:00:00,1322,14.4,1129,934,1639,1109,27,17.8,0.6275,10.1,4.8
3/18/2004,16:00:00,1496,16.8,1205,822,1767,1347,27.1,23.1,0.818,8.7,4.3
3/18/2004,17:00:00,1409,14.5,1131,873,1689,1206,25.8,23.9,0.7832,13.8,4.1
3/18/2004,18:00:00,1513,21.5,1338,764,1957,1397,23,26.8,0.7446,9.3,4.7
3/18/2004,19:00:00,1667,26.4,1464,683,2118,1588,20.7,31.1,0.7523,13,6.2
3/18/2004,20:00:00,1667,26,1453,684,2051,1569,18.6,36.2,0.7676,14.3,5.5
3/18/2004,21:00:00,1430,14.1,1121,814,1732,1322,16,48.4,0.8768,7.6,3.3
3/18/2004,22:00:00,1333,10.3,989,885,1621,1194,14.5,57.8,0.9456,5.3,3.2
3/18/2004,23:00:00,1262,8.3,911,948,1545,1062,13.1,64.2,0.9606,5.4,2.9
3/19/2004,0:00:00,1287,8.9,936,918,1606,1040,12,69.7,0.9735,4.9,2.2
3/19/2004,1:00:00,1134,6.6,840,1021,1501,917,11.9,71.1,0.9915,4.6,1.3
3/19/2004,2:00:00,999,3.6,688,1229,1380,594,12.5,69.3,1.0029,2.7,1.1
3/19/2004,3:00:00,961,2.5,622,1382,1301,430,12.5,67.5,0.9768,1.6,1.3
3/19/2004,4:00:00,934,1.8,569,1440,1280,397,12.3,67.7,0.9665,1.7,1.2
3/19/2004,5:00:00,913,1.3,525,1620,1260,370,12.5,66.8,0.962,1.2,1.7
3/19/2004,6:00:00,969,2.3,607,1373,1324,438,12.3,66.3,0.9487,1.7,2.9
3/19/2004,7:00:00,1182,6.7,845,1054,1539,704,12.4,64.9,0.9332,4.8,14.3
3/19/2004,8:00:00,1740,22.8,1372,671,2144,1476,13,61.6,0.9209,13.8,19.7
3/19/2004,9:00:00,1819,31.3,1582,575,2456,1716,13.6,58.8,0.912,23.7,5.5
3/19/2004,10:00:00,1427,19.2,1275,701,1980,1398,13.9,57.1,0.9032,14.2,5.6
3/19/2004,11:00:00,1390,16.4,1191,759,1879,1268,14.5,54.4,0.8917,8,5.8
3/19/2004,12:00:00,1283,14,1117,813,1751,1188,15.5,50.1,0.8744,6.7,5.5
3/19/2004,13:00:00,1304,15.3,1157,793,1801,1171,16.1,47.6,0.8655,8.7,6.5
3/19/2004,14:00:00,1364,16.7,1202,771,1875,1250,16.3,47.1,0.864,10.8,5.5
3/19/2004,15:00:00,1410,19,1268,724,1957,1344,16.4,47.5,0.8791,6.7,5.2
3/19/2004,16:00:00,1476,19.4,1280,708,1955,1378,16.1,50.2,0.9094,11.4,5.8
3/19/2004,17:00:00,1522,20.9,1320,690,2005,1435,16,50.7,0.9142,13.4,7.9
3/19/2004,18:00:00,1442,20.2,1301,704,1952,1372,15.8,50.3,0.8989,12,10.2
3/19/2004,19:00:00,1469,21.7,1344,677,1997,1471,15.5,50.6,0.884,20.2,8.2
3/19/2004,20:00:00,1467,19.8,1292,698,1942,1439,15.4,51.4,0.8956,14.4,5.7
3/19/2004,21:00:00,1421,16.7,1202,748,1854,1429,15.2,53.1,0.9117,9.4,3.8
3/19/2004,22:00:00,1175,9.1,945,904,1604,1081,14.7,57.6,0.9573,5.9,4
3/19/2004,23:00:00,1215,8.3,912,948,1547,993,14.2,58.3,0.938,4.5,2.8
3/20/2004,0:00:00,1127,5.8,802,1064,1447,837,13.8,57.9,0.9085,4.5,2.6
3/20/2004,1:00:00,1090,5.2,773,1105,1429,761,13.9,55.9,0.8842,2.5,1.8
3/20/2004,2:00:00,1017,4.1,718,1182,1382,650,13.9,55.6,0.8765,1.8,1.7
3/20/2004,3:00:00,997,3.4,677,1252,1359,591,13.8,55.1,0.8666,1.4,1.4
3/20/2004,4:00:00,945,2.9,646,1308,1332,505,13.8,54.6,0.8574,0.9,1.3
3/20/2004,5:00:00,956,3.1,661,1260,1351,518,13.6,55.1,0.856,0.6,2.3
3/20/2004,6:00:00,966,2.5,622,1317,1342,571,13.6,59,0.9129,1.4,5.3
3/20/2004,7:00:00,1064,4.3,728,1161,1461,842,13.5,58.4,0.896,3.8,13.4
3/20/2004,8:00:00,1300,8.9,935,902,1623,1145,13.8,58,0.9083,11.6,23.8
3/20/2004,9:00:00,1348,10.5,998,834,1689,1218,14.6,53.1,0.8765,17.8,21.5
3/20/2004,10:00:00,1425,12.5,1068,776,1764,1341,15,52.3,0.8881,8.8,21
3/20/2004,11:00:00,1474,12.3,1061,768,1768,1406,15.4,52.1,0.9046,6.8,18.4
3/20/2004,12:00:00,1490,11.7,1039,782,1757,1422,16.3,50,0.9158,5.9,18.9
3/20/2004,13:00:00,1495,11.7,1040,809,1735,1373,17.1,47.9,0.9281,8.9,17.1
3/20/2004,14:00:00,1376,9.3,953,900,1636,1153,19,42.9,0.937,8.2,10.4
3/20/2004,15:00:00,1305,7.6,884,980,1573,927,19.5,42.3,0.9476,8.6,8
3/20/2004,16:00:00,1283,6.7,844,1036,1539,766,19.5,42.3,0.9493,10.1,6.2
3/20/2004,17:00:00,1392,9.7,967,930,1649,941,19.1,43.8,0.9556,9.4,9.7
3/20/2004,18:00:00,1452,12.4,1063,856,1774,1146,18.5,46.3,0.9744,14.6,9.6
3/20/2004,19:00:00,1633,16.6,1199,734,1919,1417,17.4,51.6,1.0159,24.6,11.9
3/20/2004,20:00:00,1625,16.4,1191,733,1885,1442,17.1,51.3,0.9914,21.6,8.7
3/20/2004,21:00:00,1535,13.7,1108,785,1820,1323,16.4,53.8,0.9964,10.3,4.7
3/20/2004,22:00:00,1323,9.9,973,864,1712,1125,16.2,55.4,1.0132,5.7,3.8
3/20/2004,23:00:00,1309,8.9,937,905,1672,1036,15.9,57.7,1.0356,4.5,4.7
3/21/2004,0:00:00,1456,10.6,999,835,1714,1202,15.7,58.6,1.0396,5.5,3.8
3/21/2004,1:00:00,1300,7.4,872,941,1577,1054,15.1,60.9,1.0398,4.8,2.7
3/21/2004,2:00:00,1203,6.2,823,1004,1526,903,15.6,56.6,0.9951,3.6,2.8
3/21/2004,3:00:00,1195,6.5,836,987,1554,885,15.2,57.9,0.9941,1.7,1
3/21/2004,4:00:00,1117,5.8,802,1029,1539,818,15.4,57.8,1.0021,2.2,0.8
3/21/2004,5:00:00,1062,4,711,1136,1461,700,14.9,60.6,1.0196,3,1.5
3/21/2004,6:00:00,947,2.1,594,1300,1390,580,14.5,63,1.0316,4,3.5
3/21/2004,7:00:00,1065,3.6,687,1143,1492,815,14.2,66.2,1.063,6.7,15.6
3/21/2004,8:00:00,1155,4.4,734,1062,1528,1035,14.5,65.3,1.0704,16.7,19.9
3/21/2004,9:00:00,1220,5.4,782,996,1560,1067,15.3,62.1,1.073,19.3,8.6
3/21/2004,10:00:00,1301,7.1,862,914,1633,1114,16.3,59,1.0868,14.8,6.5
3/21/2004,11:00:00,1279,7.3,870,911,1646,1000,18.9,49.6,1.07,13.4,7.7
3/21/2004,12:00:00,1267,7.6,883,953,1617,906,19.4,46.1,1.0249,11,11.3
3/21/2004,13:00:00,1239,6.8,848,981,1568,822,20.8,41.6,1.0091,12.5,9.1
3/21/2004,14:00:00,1128,4.6,742,1144,1507,610,21.4,40.3,1.0126,8.4,11.2
3/21/2004,15:00:00,1243,8.4,916,962,1669,657,21.2,39.3,0.9791,5.3,13.5
3/21/2004,16:00:00,1208,6.9,853,1060,1506,647,20.3,38,0.8942,8.8,10.1
3/21/2004,17:00:00,1306,9,938,961,1607,762,19.4,41.3,0.9206,11.2,11.3
3/21/2004,18:00:00,1546,15.1,1151,769,1874,1122,18.5,43.8,0.9252,11.6,11.8
3/21/2004,19:00:00,1501,12.6,1071,823,1744,1130,17.8,48.1,0.9689,12.4,11.5
3/21/2004,20:00:00,1605,15.1,1153,769,1840,1637,17.9,46.9,0.952,10.6,9.3
3/21/2004,21:00:00,1316,9.9,974,883,1673,1272,17.4,49.1,0.9688,6,5.5
3/21/2004,22:00:00,1195,8,898,933,1594,1098,17,51.7,0.9914,4.6,5.1
3/21/2004,23:00:00,1211,7.9,896,920,1624,1066,16.4,55.1,1.0198,4.1,4.8
3/22/2004,0:00:00,1161,6.1,815,995,1582,909,16.1,60,1.0919,5.2,6.3
3/22/2004,1:00:00,1095,5.1,767,1050,1547,818,15.8,60.5,1.0805,3.2,5.1
3/22/2004,2:00:00,897,1.7,563,1417,1355,472,16.3,57,1.0491,4.5,4.1
